Can bus setup done...
Succeful to send start motor command
Succeful to send start motor command
Succeful to send start motor command
29.00 -3.83 3.62 -17.00 9.33 -0.26
29.39 -3.83 2.92 -16.61 9.33 -0.26
29.79 -3.50 1.32 -16.21 9.33 -0.26
30.18 -2.83 1.08 -15.82 9.33 -0.25
30.57 -2.00 0.95 -15.43 9.33 -0.25
30.96 -1.17 0.51 -15.04 9.33 -0.24
31.36 -0.33 0.44 -14.64 9.33 -0.24
31.75 0.50 0.19 -14.25 9.33 -0.24
32.14 1.50 -0.04 -13.86 9.33 -0.23
32.53 2.50 0.12 -13.47 9.33 -0.23
32.92 3.50 0.08 -13.08 9.33 -0.22
33.31 4.50 -0.00 -12.69 9.33 -0.22
33.70 5.50 0.03 -12.30 9.33 -0.22
34.09 6.50 -0.06 -11.91 9.33 -0.21
34.48 7.33 -0.00 -11.52 9.33 -0.21
34.87 8.33 0.06 -11.13 9.33 -0.20
35.26 9.17 0.04 -10.74 9.33 -0.20
35.65 10.00 0.28 -10.35 9.33 -0.20
36.04 10.83 0.23 -9.96 9.33 -0.19
36.43 11.67 0.39 -9.57 9.33 -0.19
36.81 12.33 0.28 -9.19 9.33 -0.18
37.20 13.00 0.38 -8.80 9.33 -0.18
37.59 13.83 0.17 -8.41 9.33 -0.18
37.97 14.50 0.32 -8.03 9.33 -0.17
38.36 15.17 0.25 -7.64 9.33 -0.17
38.74 15.83 0.31 -7.26 9.33 -0.17
39.12 16.67 0.20 -6.88 9.33 -0.16
39.51 17.33 0.36 -6.49 9.33 -0.16
39.89 17.83 0.41 -6.11 9.33 -0.15
40.27 18.50 0.31 -5.73 9.33 -0.15
40.65 19.17 0.44 -5.35 9.33 -0.15
41.03 19.83 0.24 -4.97 9.33 -0.14
41.40 20.33 0.45 -4.60 9.33 -0.14
41.78 21.00 0.37 -4.22 9.33 -0.14
42.16 21.50 0.27 -3.84 9.33 -0.13
42.53 22.17 0.34 -3.47 9.33 -0.13
42.91 22.83 0.26 -3.09 9.33 -0.12
43.28 23.33 0.44 -2.72 9.33 -0.12
43.65 24.00 0.34 -2.35 9.33 -0.12
44.02 24.50 0.24 -1.98 9.33 -0.11
44.39 25.17 0.37 -1.61 9.33 -0.11
44.76 25.67 0.30 -1.24 9.33 -0.11
45.13 26.17 0.42 -0.87 9.33 -0.10
45.49 26.67 0.43 -0.51 9.33 -0.10
45.86 27.17 0.28 -0.14 9.33 -0.09
46.22 27.83 0.36 0.22 9.33 -0.09
46.58 28.33 0.43 0.58 9.33 -0.09
46.94 28.83 0.32 0.94 9.33 -0.08
47.30 29.33 0.50 1.30 9.33 -0.08
47.66 29.67 0.44 1.66 9.33 -0.08
48.02 30.17 0.27 2.02 9.33 -0.07
48.37 30.67 0.42 2.37 9.33 -0.07
48.73 31.17 0.44 2.73 9.33 -0.07
49.08 31.67 0.25 3.08 9.33 -0.06
49.43 32.17 0.47 3.43 9.33 -0.06
49.78 32.67 0.51 3.78 9.33 -0.06
50.13 33.17 0.30 4.13 9.33 -0.05
50.47 33.50 0.33 4.47 9.33 -0.05
50.82 34.00 0.50 4.82 9.33 -0.04
51.16 34.50 0.41 5.16 9.33 -0.04
51.50 34.83 0.25 5.50 9.33 -0.04
51.84 35.33 0.54 5.84 9.33 -0.03
52.18 35.83 0.48 6.18 9.33 -0.03
52.51 36.17 0.34 6.51 9.33 -0.03
52.85 36.67 0.38 6.85 9.33 -0.02
53.18 37.00 0.56 7.18 9.33 -0.02
53.51 37.50 0.46 7.51 9.33 -0.02
53.84 37.83 0.33 7.84 9.33 -0.01
54.16 38.33 0.45 8.16 9.33 -0.01
54.49 38.67 0.46 8.49 9.33 -0.01
54.81 39.17 0.36 8.81 9.33 -0.00
55.13 39.50 0.38 9.13 9.33 -0.00
55.45 40.00 0.49 9.45 9.33 0.00
