Succeful to send start motor command
Succeful to send start motor command
Fail to send start motor command
16.33 13.83 -0.39 0.63 0.00 0.00
16.33 13.83 -0.39 0.63 0.00 0.00
16.33 13.83 -0.39 0.63 -0.34 0.41
16.33 13.83 -0.39 0.63 -0.44 0.64
16.33 13.83 -0.39 0.63 -0.47 0.75
16.33 13.83 -0.39 0.63 -0.53 0.84
16.33 13.83 -0.39 0.63 -0.55 0.89
16.33 13.83 -0.39 0.63 -0.61 0.95
16.33 13.83 -0.39 0.63 -0.66 1.03
16.33 13.83 -0.39 0.63 -0.67 1.03
16.33 13.83 -0.39 0.63 -0.70 1.11
16.33 13.83 -0.39 0.63 -0.73 1.06
16.33 13.83 -0.39 0.63 -0.73 1.13
16.33 13.83 -0.39 0.63 -0.77 1.19
16.33 13.83 -0.39 0.63 -0.75 1.20
16.33 13.83 -0.39 0.63 -0.70 1.14
16.33 13.83 -0.39 0.63 -0.73 1.22
16.33 13.83 -0.39 0.63 -0.77 1.23
16.33 13.83 -0.39 0.63 -0.73 1.23
16.33 13.83 -0.39 0.63 -0.75 1.22
16.33 13.83 -0.39 0.63 -0.78 1.20
16.33 13.83 -0.39 0.63 -0.75 1.19
16.33 13.83 -0.39 0.63 -0.81 1.25
16.33 13.83 -0.39 0.63 -0.80 1.19
16.33 13.83 -0.39 0.63 -0.84 1.14
16.33 13.83 -0.39 0.63 -0.80 1.19
16.33 13.83 -0.39 0.63 -0.81 1.27
16.33 13.83 -0.39 0.63 -0.73 1.31
16.33 13.83 -0.39 0.63 -0.63 1.30
16.33 13.83 -0.39 0.63 -0.64 1.27
16.33 13.83 -0.39 0.63 -0.73 1.34
16.33 13.83 -0.39 0.63 -0.81 1.34
16.33 13.83 -0.39 0.63 -0.83 1.31
16.33 13.83 -0.39 0.63 -0.80 1.23
16.33 13.83 -0.39 0.63 -0.84 1.19
16.33 13.83 -0.39 0.63 -0.75 1.16
16.33 13.83 -0.39 0.63 -0.78 1.19
16.33 13.83 -0.39 0.63 -0.77 1.22
16.33 13.83 -0.39 0.63 -0.78 1.27
16.33 13.83 -0.39 0.63 -0.77 1.23
16.33 13.83 -0.39 0.63 -0.73 1.23
16.33 13.83 -0.39 0.63 -0.75 1.30
16.33 13.83 -0.39 0.63 -0.73 1.34
16.33 13.83 -0.39 0.63 -0.73 1.50
16.33 13.83 -0.39 0.63 -0.75 1.45
16.33 13.83 -0.39 0.63 -0.75 1.42
16.33 13.83 -0.39 0.63 -0.75 1.42
16.33 13.83 -0.39 0.63 -0.75 1.38
16.33 13.83 -0.39 0.63 -0.75 1.27
16.33 13.83 -0.39 0.63 -0.72 1.27
16.33 13.83 -0.39 0.63 -0.80 1.16
16.33 13.83 -0.39 0.63 -0.80 1.14
16.33 13.83 -0.39 0.63 -0.80 1.27
16.33 13.83 -0.39 0.63 -0.81 1.30
16.33 13.83 -0.39 0.63 -0.75 1.28
16.33 13.83 -0.39 0.63 -0.81 1.25
16.33 13.83 -0.39 0.63 -0.78 1.27
16.33 13.83 -0.39 0.63 -0.80 1.23
16.33 13.83 -0.39 0.63 -0.75 1.22
16.33 13.83 -0.39 0.63 -0.75 1.22
16.33 13.83 -0.39 0.63 -0.77 1.19
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.75 1.22
16.33 13.83 -0.39 0.63 -0.73 1.23
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.72 1.19
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.70 1.22
16.33 13.83 -0.39 0.63 -0.77 1.22
16.33 13.83 -0.39 0.63 -0.73 1.22
16.33 13.83 -0.39 0.63 -0.75 1.19
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.73 1.20
16.33 13.83 -0.39 0.63 -0.73 1.22
16.33 13.83 -0.39 0.63 -0.73 1.22
16.33 13.83 -0.39 0.63 -0.72 1.22
16.33 13.83 -0.39 0.63 -0.77 1.23
16.33 13.83 -0.39 0.63 -0.77 1.25
16.33 13.83 -0.39 0.63 -0.72 1.20
16.33 13.83 -0.39 0.63 -0.80 1.20
16.33 13.83 -0.39 0.63 -0.80 1.23
16.33 13.83 -0.39 0.63 -0.81 1.20
16.33 13.83 -0.39 0.63 -0.84 1.17
16.33 13.83 -0.39 0.63 -0.77 1.23
16.33 13.83 -0.39 0.63 -0.77 1.22
16.33 13.83 -0.39 0.63 -0.72 1.23
16.33 13.83 -0.39 0.63 -0.64 1.22
16.33 13.83 -0.39 0.63 -0.58 1.25
16.33 13.83 -0.39 0.63 -0.72 1.23
16.33 13.83 -0.39 0.63 -0.77 1.27
16.33 13.83 -0.39 0.63 -0.73 1.27
16.33 13.83 -0.39 0.63 -0.73 1.23
16.33 13.83 -0.39 0.63 -0.77 1.22
16.33 13.83 -0.39 0.63 -0.77 1.19
16.33 13.83 -0.39 0.63 -0.70 1.19
16.33 13.83 -0.39 0.63 -0.77 1.20
16.33 13.83 -0.39 0.63 -0.77 1.19
16.33 13.83 -0.39 0.63 -0.81 1.20
16.33 13.83 -0.39 0.63 -0.77 1.23
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.81 1.23
16.33 13.83 -0.39 0.63 -0.77 1.27
16.33 13.83 -0.39 0.63 -0.80 1.28
16.33 13.83 -0.39 0.63 -0.80 1.27
16.33 13.83 -0.39 0.63 -0.77 1.33
16.33 13.83 -0.39 0.63 -0.80 1.25
16.33 13.83 -0.39 0.63 -0.77 1.27
16.33 13.83 -0.39 0.63 -0.83 1.08
16.33 13.83 -0.39 0.63 -0.80 1.09
16.33 13.83 -0.39 0.63 -0.80 1.13
16.33 13.83 -0.39 0.63 -0.83 1.22
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.81 1.27
16.33 13.83 -0.39 0.63 -0.83 1.27
16.33 13.83 -0.39 0.63 -0.75 1.27
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.80 1.20
16.33 13.83 -0.39 0.63 -0.80 1.23
16.33 13.83 -0.39 0.63 -0.75 1.27
16.33 13.83 -0.39 0.63 -0.77 1.25
16.33 13.83 -0.39 0.63 -0.77 1.27
16.33 13.83 -0.39 0.63 -0.73 1.27
16.33 13.83 -0.39 0.63 -0.78 1.27
16.33 13.83 -0.39 0.63 -0.73 1.20
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.73 1.25
16.33 13.83 -0.39 0.63 -0.75 1.25
16.33 13.83 -0.39 0.63 -0.75 1.20
16.33 13.83 -0.39 0.63 -0.77 1.23
16.33 13.83 -0.39 0.63 -0.77 1.25
16.33 13.83 -0.39 0.63 -0.78 1.22
16.33 13.83 -0.39 0.63 -0.75 1.20
16.33 13.83 -0.39 0.63 -0.75 1.17
16.33 13.83 -0.39 0.63 -0.69 1.19
16.33 13.83 -0.39 0.63 -0.80 1.20
16.33 13.83 -0.39 0.63 -0.70 1.19
16.33 13.83 -0.39 0.63 -0.73 1.20
16.33 13.83 -0.39 0.63 -0.86 1.20
16.33 13.83 -0.39 0.63 -0.88 1.17
16.33 13.83 -0.39 0.63 -0.83 1.17
16.33 13.83 -0.39 0.63 -0.81 1.20
16.33 13.83 -0.39 0.63 -0.83 1.19
16.33 13.83 -0.39 0.63 -0.73 1.19
16.33 13.83 -0.39 0.63 -0.73 1.19
16.33 13.83 -0.39 0.63 -0.66 1.27
16.33 13.83 -0.39 0.63 -0.64 1.22
16.33 13.83 -0.39 0.63 -0.78 1.22
16.33 13.83 -0.39 0.63 -0.78 1.28
16.33 13.83 -0.39 0.63 -0.75 1.23
16.33 13.83 -0.39 0.63 -0.81 1.23
16.33 13.83 -0.39 0.63 -0.80 1.17
16.33 13.83 -0.39 0.63 -0.80 1.20
16.33 13.83 -0.39 0.63 -0.75 1.20
16.33 13.83 -0.39 0.63 -0.78 1.20
16.33 13.83 -0.39 0.63 -0.73 1.19
16.33 13.83 -0.39 0.63 -0.77 1.20
16.33 13.83 -0.39 0.63 -0.77 1.17
16.33 13.83 -0.39 0.63 -0.83 1.27
16.33 13.83 -0.39 0.63 -0.83 1.27
16.33 13.83 -0.39 0.63 -0.81 1.28
16.33 13.83 -0.39 0.63 -0.83 1.39
16.33 13.83 -0.39 0.63 -0.75 1.33
16.33 13.83 -0.39 0.63 -0.84 1.28
16.33 13.83 -0.39 0.63 -0.83 1.36
16.33 13.83 -0.39 0.63 -0.83 1.05
