Can bus setup done...
Succeful to send start motor command
Succeful to send start motor command
Succeful to send start motor command
16.00 13.33 -0.38 0.63 0.00 0.00
16.00 13.33 -0.38 0.63 0.00 0.00
16.00 13.33 -0.38 0.63 -0.53 0.59
16.00 13.33 -0.38 0.63 -0.64 1.02
16.00 13.33 -0.38 0.63 -0.78 1.27
16.00 13.33 -0.38 0.63 -0.89 1.23
16.00 13.33 -0.38 0.63 -0.91 1.31
16.00 13.33 -0.38 0.63 -0.86 1.28
16.00 13.33 -0.38 0.63 -0.80 1.38
16.00 13.33 -0.38 0.63 -0.81 1.55
16.00 13.33 -0.38 0.63 -0.78 1.59
16.00 13.33 -0.38 0.63 -0.73 1.63
16.00 13.33 -0.38 0.63 -0.86 1.61
16.00 13.33 -0.38 0.63 -0.91 1.72
16.00 13.33 -0.38 0.63 -0.92 1.72
16.00 13.33 -0.38 0.63 -1.00 1.83
16.00 13.33 -0.38 0.63 -1.02 1.70
16.00 13.33 -0.38 0.63 -1.06 1.78
16.00 13.33 -0.38 0.63 -1.17 1.80
16.00 13.33 -0.38 0.63 -1.16 1.88
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.20 1.91
16.00 13.33 -0.38 0.63 -1.16 1.86
16.00 13.33 -0.38 0.63 -1.08 1.78
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.16 1.91
16.00 13.33 -0.38 0.63 -1.22 1.97
16.00 13.33 -0.38 0.63 -1.27 1.88
16.00 13.33 -0.38 0.63 -1.28 1.91
16.00 13.33 -0.38 0.63 -1.23 1.91
16.00 13.33 -0.38 0.63 -1.19 1.95
16.00 13.33 -0.38 0.63 -1.27 2.03
16.00 13.33 -0.38 0.63 -1.27 1.95
16.00 13.33 -0.38 0.63 -1.23 2.05
16.00 13.33 -0.38 0.63 -1.17 1.97
16.00 13.33 -0.38 0.63 -1.20 1.95
16.00 13.33 -0.38 0.63 -1.23 2.02
16.00 13.33 -0.38 0.63 -1.23 1.83
16.00 13.33 -0.38 0.63 -1.23 1.89
16.00 13.33 -0.38 0.63 -1.22 2.03
16.00 13.33 -0.38 0.63 -1.22 2.11
16.00 13.33 -0.38 0.63 -1.23 2.03
16.00 13.33 -0.38 0.63 -1.28 2.06
16.00 13.33 -0.38 0.63 -1.30 2.05
16.00 13.33 -0.38 0.63 -1.30 2.06
16.00 13.33 -0.38 0.63 -1.30 2.03
16.00 13.33 -0.38 0.63 -1.31 2.00
16.00 13.33 -0.38 0.63 -1.30 1.91
16.00 13.33 -0.38 0.63 -1.28 1.91
16.00 13.33 -0.38 0.63 -1.30 1.91
16.00 13.33 -0.38 0.63 -1.25 1.92
16.00 13.33 -0.38 0.63 -1.27 1.89
16.00 13.33 -0.38 0.63 -1.22 1.95
16.00 13.33 -0.38 0.63 -1.20 1.97
16.00 13.33 -0.38 0.63 -1.17 1.94
16.00 13.33 -0.38 0.63 -1.20 1.86
16.00 13.33 -0.38 0.63 -1.19 1.89
16.00 13.33 -0.38 0.63 -1.25 1.78
16.00 13.33 -0.38 0.63 -1.17 1.73
16.00 13.33 -0.38 0.63 -1.17 1.69
16.00 13.33 -0.38 0.63 -1.20 1.72
16.00 13.33 -0.38 0.63 -1.20 1.89
16.00 13.33 -0.38 0.63 -1.22 1.84
16.00 13.33 -0.38 0.63 -1.30 1.95
16.00 13.33 -0.38 0.63 -1.28 1.89
16.00 13.33 -0.38 0.63 -1.16 1.92
16.00 13.33 -0.38 0.63 -1.08 1.88
16.00 13.33 -0.38 0.63 -1.09 1.86
16.00 13.33 -0.38 0.63 -1.05 1.84
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.17 1.81
