119.16313426899255,['-1.83', '-0.67', '18.50', '0.40\r\n']
564.9655172413793,['-1.83', '-0.67', '18.50', '0.40\r\n']
183.28543960846005,['-1.83', '-0.67', '18.50', '0.40\r\n']
176.70643747893496,['-1.83', '-0.67', '18.50', '0.40\r\n']
140.90449155104645,['-1.83', '-0.67', '18.50', '0.40\r\n']
105.73253674153621,['-1.83', '-0.67', '18.50', '0.40\r\n']
453.5363321799308,['-1.83', '-0.67', '18.50', '0.40\r\n']
203.80485908649175,['-1.83', '-0.67', '18.50', '0.40\r\n']
169.975036472686,['-1.83', '-0.67', '18.50', '0.40\r\n']
165.50801041748875,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.33040772360968,['-1.83', '-0.67', '18.50', '0.40\r\n']
131.1621739946213,['-1.83', '-0.67', '18.50', '0.40\r\n']
184.17072099762888,['-1.83', '-0.67', '18.50', '0.40\r\n']
174.11698285524514,['-1.83', '-0.67', '18.50', '0.40\r\n']
162.23037054227586,['-1.83', '-0.67', '18.50', '0.40\r\n']
142.7994007898679,['-1.83', '-0.67', '18.50', '0.40\r\n']
198.37790285200776,['-1.83', '-0.67', '18.50', '0.40\r\n']
175.99462907015777,['-1.83', '-0.67', '18.50', '0.40\r\n']
174.21099850473502,['-1.83', '-0.67', '18.50', '0.40\r\n']
127.4399611084103,['-1.83', '-0.67', '18.50', '0.40\r\n']
256.4852932183697,['-1.83', '-0.67', '18.50', '0.40\r\n']
145.7367616400278,['-1.83', '-0.67', '18.50', '0.40\r\n']
169.60388192478771,['-1.83', '-0.67', '18.50', '0.40\r\n']
160.17352783930343,['-1.83', '-0.67', '18.50', '0.40\r\n']
187.08702439894734,['-1.83', '-0.67', '18.50', '0.40\r\n']
166.32842923424673,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.67155706576054,['-1.83', '-0.67', '18.50', '0.40\r\n']
169.15244394257138,['-1.83', '-0.67', '18.50', '0.40\r\n']
164.53412835399342,['-1.83', '-0.67', '18.50', '0.40\r\n']
168.3512884322068,['-1.83', '-0.67', '18.50', '0.40\r\n']
168.04102564102564,['-1.83', '-0.67', '18.50', '0.40\r\n']
166.61253674425996,['-1.83', '-0.67', '18.50', '0.40\r\n']
166.698620881523,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.1703467516939,['-1.83', '-0.67', '18.50', '0.40\r\n']
168.26348938901592,['-1.83', '-0.67', '18.50', '0.40\r\n']
165.4492524949706,['-1.83', '-0.67', '18.50', '0.40\r\n']
143.80306510782734,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.81243498439625,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.2503389424994,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.14369968916873,['-1.83', '-0.67', '18.50', '0.40\r\n']
168.40536416927648,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.51084308478772,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.16368418955003,['-1.83', '-0.67', '18.50', '0.40\r\n']
165.9664450775562,['-1.83', '-0.67', '18.50', '0.40\r\n']
168.57457497689,['-1.83', '-0.67', '18.50', '0.40\r\n']
168.2972474119252,['-1.83', '-0.67', '18.50', '0.40\r\n']
164.79918274331067,['-1.83', '-0.67', '18.50', '0.40\r\n']
169.1115232642529,['-1.83', '-0.67', '18.50', '0.40\r\n']
144.01043776824034,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.44396981915446,['-1.83', '-0.67', '18.50', '0.40\r\n']
162.94254302474653,['-1.83', '-0.67', '18.50', '0.40\r\n']
168.66269905098923,['-1.83', '-0.67', '18.50', '0.40\r\n']
170.41010847925892,['-1.83', '-0.67', '18.50', '0.40\r\n']
164.47605976236227,['-1.83', '-0.67', '18.50', '0.40\r\n']
163.82720099992187,['-1.83', '-0.67', '18.50', '0.40\r\n']
173.28254492873373,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.117061120408,['-1.83', '-0.67', '18.50', '0.40\r\n']
163.2469544233838,['-1.83', '-0.67', '18.50', '0.40\r\n']
169.35050672265515,['-1.83', '-0.67', '18.50', '0.40\r\n']
169.17973539851565,['-1.83', '-0.67', '18.50', '0.40\r\n']
164.53412835399342,['-1.83', '-0.67', '18.50', '0.40\r\n']
141.20333961755992,['-1.83', '-0.67', '18.50', '0.40\r\n']
171.73582278999305,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.75873930085592,['-1.83', '-0.67', '18.50', '0.40\r\n']
165.61911154985194,['-1.83', '-0.67', '18.50', '0.40\r\n']
163.9937441351267,['-1.83', '-0.67', '18.50', '0.40\r\n']
173.49758014477766,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.73190434295768,['-1.83', '-0.67', '18.50', '0.40\r\n']
165.6976257259116,['-1.83', '-0.67', '18.50', '0.40\r\n']
166.80469278186519,['-1.83', '-0.67', '18.50', '0.40\r\n']
169.35050672265515,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.15702215845687,['-1.83', '-0.67', '18.50', '0.40\r\n']
164.25705893871157,['-1.83', '-0.67', '18.50', '0.40\r\n']
145.03125864453665,['-1.83', '-0.67', '18.50', '0.40\r\n']
168.74412616672032,['-1.83', '-0.67', '18.50', '0.40\r\n']
166.25590613603933,['-1.83', '-0.67', '18.50', '0.40\r\n']
165.26671657669726,['-1.83', '-0.67', '18.50', '0.40\r\n']
169.74802703468373,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.95354983382052,['-1.83', '-0.67', '18.50', '0.40\r\n']
166.22296199421393,['-1.83', '-0.67', '18.50', '0.40\r\n']
166.22296199421393,['-1.83', '-0.67', '18.50', '0.40\r\n']
172.26482667980943,['-1.83', '-0.67', '18.50', '0.40\r\n']
167.90648518815053,['-1.83', '-0.67', '18.50', '0.40\r\n']
163.68654386512645,['-1.67', '-0.67', '18.50', '0.40\r\n']
169.86489551271666,['-1.67', '-0.67', '18.50', '0.40\r\n']
170.41010847925892,['-1.67', '-0.67', '18.50', '0.40\r\n']
144.2233684065745,['-1.67', '-0.67', '18.50', '0.40\r\n']
165.53413844818058,['-1.67', '-0.67', '18.50', '0.40\r\n']
168.29049472374913,['-1.67', '-0.67', '18.50', '0.40\r\n']
169.74802703468373,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.11762842092756,['-1.67', '-0.67', '18.33', '0.41\r\n']
167.33040772360968,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.29248883475435,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.41206882623797,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.902850402988,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.1218534551868,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.57645346486618,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.29248883475435,['-1.67', '-0.67', '18.33', '0.41\r\n']
138.98548611571343,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.63557413959472,['-1.67', '-0.67', '18.33', '0.41\r\n']
172.26482667980943,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.97526387881717,['-1.67', '-0.67', '18.33', '0.41\r\n']
163.66738205798572,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.74802703468373,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.29248883475435,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.1636954282545,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.77816215356475,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.31495323285546,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.76394430420976,['-1.67', '-0.67', '18.33', '0.41\r\n']
139.11456053067994,['-1.67', '-0.67', '18.33', '0.41\r\n']
