Can bus setup done...
Succeful to send start motor command
Succeful to send start motor command
Succeful to send start motor command
29.00 0.50 96.09 -17.00 9.33 0.00
29.39 0.50 2.39 -16.61 9.33 0.00
29.79 0.67 2.14 -16.21 9.33 0.00
30.18 1.33 1.31 -15.82 9.33 0.00
30.57 2.17 1.02 -15.43 9.33 0.00
30.96 3.00 1.01 -15.04 9.33 0.00
31.36 4.00 0.70 -14.64 9.33 0.00
31.75 5.17 0.39 -14.25 9.33 0.00
32.14 6.33 0.36 -13.86 9.33 0.00
32.53 7.50 0.32 -13.47 9.33 0.00
32.92 8.67 0.27 -13.08 9.33 0.00
33.31 9.83 0.24 -12.69 9.33 0.00
33.70 11.00 0.20 -12.30 9.33 0.00
34.09 12.17 0.15 -11.91 9.33 0.00
34.48 13.50 -0.17 -11.52 9.33 0.00
34.87 14.67 0.06 -11.13 9.33 0.00
35.26 15.67 0.30 -10.74 9.33 0.00
35.65 16.83 -0.01 -10.35 9.33 0.00
36.04 17.83 0.23 -9.96 9.33 0.00
36.43 18.83 0.20 -9.57 9.33 0.00
36.81 19.83 0.17 -9.19 9.33 0.00
37.20 20.83 0.13 -8.80 9.33 0.00
37.59 21.67 0.38 -8.41 9.33 0.00
37.97 22.50 0.36 -8.03 9.33 0.00
38.36 23.33 0.34 -7.64 9.33 0.00
38.74 24.00 0.59 -7.26 9.33 0.00
39.12 24.83 0.30 -6.88 9.33 0.00
39.51 25.50 0.56 -6.49 9.33 0.00
39.89 26.17 0.54 -6.11 9.33 0.00
40.27 26.83 0.53 -5.73 9.33 0.00
40.65 27.50 0.51 -5.35 9.33 0.00
41.03 28.17 0.50 -4.97 9.33 0.00
41.40 29.00 0.20 -4.60 9.33 0.00
41.78 29.67 0.46 -4.22 9.33 0.00
42.16 30.33 0.44 -3.84 9.33 0.00
42.53 30.83 0.71 -3.47 9.33 0.00
42.91 31.50 0.42 -3.09 9.33 0.00
43.28 32.33 0.12 -2.72 9.33 0.00
43.65 33.00 0.38 -2.35 9.33 0.00
44.02 33.50 0.65 -1.98 9.33 0.00
44.39 34.17 0.36 -1.61 9.33 0.00
44.76 34.83 0.34 -1.24 9.33 0.00
45.13 35.50 0.32 -0.87 9.33 0.00
45.49 36.00 0.59 -0.51 9.33 0.00
45.86 36.67 0.30 -0.14 9.33 0.00
46.22 37.17 0.56 0.22 9.33 0.00
46.58 37.83 0.27 0.58 9.33 0.00
46.94 38.33 0.54 0.94 9.33 0.00
47.30 39.00 0.25 1.30 9.33 0.00
47.66 39.50 0.51 1.66 9.33 0.00
48.02 40.00 0.50 2.02 9.33 0.00
48.37 40.50 0.49 2.37 9.33 0.00
48.73 41.17 0.20 2.73 9.33 0.00
49.08 41.67 0.47 3.08 9.33 0.00
49.43 42.17 0.46 3.43 9.33 0.00
49.78 42.67 0.45 3.78 9.33 0.00
50.13 43.17 0.44 4.13 9.33 0.00
50.47 43.67 0.43 4.47 9.33 0.00
50.82 44.17 0.42 4.82 9.33 0.00
51.16 44.67 0.41 5.16 9.33 0.00
51.50 45.00 0.68 5.50 9.33 0.00
51.84 45.50 0.40 5.84 9.33 0.00
52.18 46.00 0.39 6.18 9.33 0.00
52.51 46.50 0.38 6.51 9.33 0.00
52.85 47.00 0.36 6.85 9.33 0.00
53.18 47.33 0.64 7.18 9.33 0.00
53.51 47.83 0.35 7.51 9.33 0.00
53.84 48.33 0.34 7.84 9.33 0.00
54.16 48.83 0.33 8.16 9.33 0.00
54.49 49.17 0.60 8.49 9.33 0.00
54.81 49.50 0.60 8.81 9.33 0.00
55.13 50.00 0.31 9.13 9.33 0.00
55.45 50.33 0.58 9.45 9.33 0.00
55.77 50.83 0.30 9.77 9.33 0.00
56.08 51.17 0.57 10.08 9.33 0.00
56.39 51.50 0.56 10.39 9.33 0.00
