0.3261558076604045,['Can bus setup done...\r\n']
0.17072340079810866,['Succeful to send start motor command\r\n']
1.8458115349138509,['Succeful to send start motor command\r\n']
4.203796171755824,['M1 Success\r\n']
3.291736253249118,['Fail to send start motor command\r\n']
4.200617528144802,['M2 Success\r\n']
1.950296615174012,['0.00', '-0.74', '0.00', '1.14\r\n']
172.09519120301985,['0.00', '-0.74', '0.00', '1.14\r\n']
170.22337662337662,['0.00', '-0.74', '0.00', '1.14\r\n']
173.9220434566263,['0.00', '-0.74', '0.00', '1.14\r\n']
165.8483194938711,['0.00', '-0.74', '0.00', '1.14\r\n']
170.80566867568007,['0.00', '-0.74', '0.00', '1.14\r\n']
172.68327226316438,['0.00', '-0.74', '0.00', '1.14\r\n']
167.75202975642924,['0.00', '-0.74', '0.00', '1.14\r\n']
170.57643661799992,['0.00', '-0.74', '0.00', '1.14\r\n']
173.261070720423,['0.00', '-0.74', '0.00', '1.14\r\n']
167.8191493618213,['0.00', '-0.74', '0.00', '1.14\r\n']
145.05633754106864,['0.00', '-0.74', '0.00', '1.14\r\n']
175.20798696687413,['0.00', '-0.74', '0.00', '1.14\r\n']
168.03429349785665,['0.00', '-0.74', '0.00', '1.14\r\n']
171.13321636949692,['0.00', '-0.74', '0.00', '1.14\r\n']
168.65591700510677,['0.00', '-0.74', '0.00', '1.14\r\n']
174.26166438156966,['0.00', '-0.74', '0.00', '1.14\r\n']
164.36648640175562,['0.00', '-0.74', '0.00', '1.14\r\n']
172.3426880880963,['0.00', '-0.74', '0.00', '1.14\r\n']
169.6930857304689,['0.00', '-0.74', '0.00', '1.14\r\n']
172.54829685700182,['0.00', '-0.74', '0.00', '1.14\r\n']
171.13321636949692,['0.00', '-0.74', '0.00', '1.14\r\n']
170.04394713370633,['0.00', '-0.74', '0.00', '1.14\r\n']
166.55299209784377,['0.00', '-0.74', '0.00', '1.14\r\n']
153.3230004386606,['0.00', '-0.74', '0.00', '1.14\r\n']
200.73242402488634,['0.00', '-0.74', '0.00', '1.14\r\n']
170.09911590558846,['0.00', '-0.74', '0.00', '1.14\r\n']
165.9007989874219,['0.00', '-0.74', '0.00', '1.14\r\n']
168.82563194332636,['0.00', '-0.74', '0.00', '1.14\r\n']
168.41888853196275,['0.00', '-0.74', '0.00', '1.14\r\n']
173.82833934269965,['0.00', '-0.74', '0.00', '1.14\r\n']
166.34162205036685,['0.00', '-0.74', '0.00', '1.14\r\n']
146.91596903569302,['0.00', '-0.74', '0.00', '1.14\r\n']
172.9039492126309,['0.00', '-0.74', '0.00', '1.14\r\n']
171.14718243767086,['0.00', '-0.74', '0.00', '1.14\r\n']
