Segments
100
,,Xie0406:LeftFemur,,,,,,Xie0406:LeftFoot,,,,,,Xie0406:LeftTibia,,,,,,Xie0406:LeftTibialTorsioned,,,,,,Xie0406:Pelvis,,,,,,Xie0406:RightFemur,,,,,,Xie0406:RightFoot,,,,,,Xie0406:RightTibia,,,,,,Xie0406:RightTibialTorsioned,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Xie0406:LASI,,,Xie0406:RASI,,,Xie0406:LPSI,,,Xie0406:RPSI,,,Xie0406:LTHI,,,Xie0406:LKNE,,,Xie0406:LTIB,,,Xie0406:LANK,,,Xie0406:LHEE,,,Xie0406:LTOE,,,Xie0406:RTHI,,,Xie0406:RKNE,,,Xie0406:RTIB,,,Xie0406:RANK,,,Xie0406:RHEE,,,Xie0406:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,,,,,,,,,,,,,,,,9.77431,1871.9,331.209,,,,,,,254.464,1878.96,55.7688,36.6255,1424.65,445.361,,,,226.215,1347.7,57.4583,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,9.72539,1871.92,331.18,,,,,,,254.466,1878.95,55.7699,37.1559,1424.56,445.34,,,,226.192,1347.74,57.4997,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,9.69391,1871.96,331.15,,,,,,,254.451,1878.95,55.7697,37.8665,1424.37,445.36,,,,226.157,1347.77,57.5605,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,9.65624,1872.03,331.117,,,,,,,254.44,1878.95,55.7708,38.6524,1424.11,445.32,,,,226.116,1347.82,57.6384,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,9.62051,1872.09,331.078,,,,,,,254.442,1878.94,55.7629,39.7043,1423.69,445.282,,,,226.081,1347.88,57.7249,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,9.57466,1872.19,331.039,,,,,,,254.461,1878.94,55.7413,40.9519,1423.33,444.757,,,,226.042,1347.92,57.8101,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,9.52708,1872.31,330.974,,,,,,,254.484,1878.94,55.7012,42.5665,1422.78,445.155,,,,225.994,1347.97,57.9027,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,,,9.48344,1872.46,330.905,,,,,,,254.515,1878.94,55.6579,44.54,1422.1,445.161,,,,225.963,1348.05,57.9972,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,9.48389,1872.71,330.84,,,,,,,254.527,1878.95,55.6202,46.8162,1421.34,445.011,,,,225.938,1348.12,58.1004,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,9.46023,1872.95,330.793,,,,,,,254.538,1878.96,55.579,49.3042,1420.86,445.675,,,,225.934,1348.2,58.1801,,,,,,,,,
11,0,,,,,,,,,,,,,,,,,,,9.387,1873.18,330.744,,,,,,,254.538,1879,55.5244,52.4839,1419.08,445.053,,,,225.923,1348.27,58.2588,,,,,,,,,
12,0,,,,,,,,,,,,,,,,,,,9.34534,1873.42,330.688,,,,,,,254.568,1879.02,55.4826,55.9124,1417.66,444.981,,,,225.944,1348.35,58.3277,,,,,,,,,
13,0,,,,,,,,,,,,,,,,,,,9.30727,1873.64,330.655,,,,,,,254.57,1879.04,55.4493,59.259,1416.99,444.706,,,,225.987,1348.43,58.3599,,,,,,,,,
14,0,,,,,,,,,,,,,,,,,,,9.30137,1873.85,330.602,,,,,,,254.579,1879.05,55.4038,63.5377,1414.45,444.696,,,,226.07,1348.48,58.3556,,,,,,,,,
15,0,,,,,,,,,,,,,,,,,,,9.29639,1874.07,330.579,,,,,,,254.587,1879.06,55.3549,67.8896,1412.27,444.466,,,,226.207,1348.52,58.3266,,,,,,,,,
